customer_id,gender,is_female,is_senior_citizen,partner,dependents,partner_dependents,phone_service,has_phone,internet_service,has_internet,has_phone_and_internet,contract_type,payment_type,monthly_charges,total_charges,churn,has_churned,tenure,start_date,avg_monthly_charges,contract_type,phone_service,internet_service,service_type
0002-ORFBO,Female,TRUE,0,Yes,Yes,3,1,TRUE,1,TRUE,TRUE,1,Mailed check,$65.60,$593.30,No,FALSE,9,2020-10-25,$65.92,1 Year,One Line,DSL,phone_and_internet
0003-MKNFE,Male,FALSE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Mailed check,$59.90,$542.40,No,FALSE,9,2020-10-25,$60.27,Month-to-Month,Two or More Lines,DSL,phone_and_internet
0004-TLHLJ,Male,FALSE,0,No,No,0,1,TRUE,2,TRUE,TRUE,0,Electronic check,$73.90,$280.85,Yes,TRUE,3,2021-04-25,$93.62,Month-to-Month,One Line,Fiber Optic,phone_and_internet
0011-IGKFF,Male,FALSE,1,Yes,No,1,1,TRUE,2,TRUE,TRUE,0,Electronic check,$98.00,"$1,237.85",Yes,TRUE,12,2020-07-26,$103.15,Month-to-Month,One Line,Fiber Optic,phone_and_internet
0013-EXCHZ,Female,TRUE,1,Yes,No,1,1,TRUE,2,TRUE,TRUE,0,Mailed check,$83.90,$267.40,Yes,TRUE,3,2021-04-25,$89.13,Month-to-Month,One Line,Fiber Optic,phone_and_internet
0013-MHZWF,Female,TRUE,0,No,Yes,2,1,TRUE,1,TRUE,TRUE,0,Credit card (automatic),$69.40,$571.45,No,FALSE,8,2020-11-24,$71.43,Month-to-Month,One Line,DSL,phone_and_internet
0013-SMEOE,Female,TRUE,1,Yes,No,1,1,TRUE,2,TRUE,TRUE,2,Bank transfer (automatic),$109.70,"$7,904.25",No,FALSE,72,2015-07-28,$109.78,2 Year,One Line,Fiber Optic,phone_and_internet
0014-BMAQU,Male,FALSE,0,Yes,No,1,2,TRUE,2,TRUE,TRUE,2,Credit card (automatic),$84.65,"$5,377.80",No,FALSE,63,2016-04-26,$85.36,2 Year,Two or More Lines,Fiber Optic,phone_and_internet
0015-UOCOJ,Female,TRUE,1,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$48.20,$340.35,No,FALSE,7,2020-12-25,$48.62,Month-to-Month,One Line,DSL,phone_and_internet
0016-QLJIS,Female,TRUE,0,Yes,Yes,3,2,TRUE,1,TRUE,TRUE,2,Mailed check,$90.45,"$5,957.90",No,FALSE,65,2016-02-25,$91.66,2 Year,Two or More Lines,DSL,phone_and_internet
0017-DINOC,Male,FALSE,0,No,No,0,0,FALSE,1,TRUE,FALSE,2,Credit card (automatic),$45.20,"$2,460.55",No,FALSE,54,2017-01-25,$45.57,2 Year,No Phone Service,DSL,internet_only
0017-IUDMW,Female,TRUE,0,Yes,Yes,3,2,TRUE,2,TRUE,TRUE,2,Credit card (automatic),$116.80,"$8,456.75",No,FALSE,72,2015-07-28,$117.45,2 Year,Two or More Lines,Fiber Optic,phone_and_internet
0018-NYROU,Female,TRUE,0,Yes,No,1,1,TRUE,2,TRUE,TRUE,0,Electronic check,$68.95,$351.50,No,FALSE,5,2021-02-23,$70.30,Month-to-Month,One Line,Fiber Optic,phone_and_internet
0019-EFAEP,Female,TRUE,0,No,No,0,2,TRUE,2,TRUE,TRUE,2,Bank transfer (automatic),$101.30,"$7,261.25",No,FALSE,71,2015-08-27,$102.27,2 Year,Two or More Lines,Fiber Optic,phone_and_internet
0019-GFNTW,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,2,Bank transfer (automatic),$45.05,"$2,560.10",No,FALSE,56,2016-11-25,$45.72,2 Year,No Phone Service,DSL,internet_only
0020-INWCK,Female,TRUE,0,Yes,Yes,3,2,TRUE,2,TRUE,TRUE,2,Credit card (automatic),$95.75,"$6,849.40",No,FALSE,71,2015-08-27,$96.47,2 Year,Two or More Lines,Fiber Optic,phone_and_internet
0020-JDNXP,Female,TRUE,0,Yes,Yes,3,0,FALSE,1,TRUE,FALSE,1,Mailed check,$61.25,"$1,993.20",No,FALSE,32,2018-11-25,$62.29,1 Year,No Phone Service,DSL,internet_only
0021-IKXGC,Female,TRUE,1,No,No,0,2,TRUE,2,TRUE,TRUE,0,Electronic check,$72.10,$72.10,No,FALSE,1,2021-06-25,$72.10,Month-to-Month,Two or More Lines,Fiber Optic,phone_and_internet
0022-TCJCI,Male,FALSE,1,No,No,0,1,TRUE,1,TRUE,TRUE,1,Credit card (automatic),$62.70,"$2,791.50",Yes,TRUE,44,2017-11-25,$63.44,1 Year,One Line,DSL,phone_and_internet
0023-HGHWL,Male,FALSE,1,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$25.10,$25.10,Yes,TRUE,1,2021-06-25,$25.10,Month-to-Month,No Phone Service,DSL,internet_only
0023-UYUPN,Female,TRUE,1,Yes,No,1,2,TRUE,0,FALSE,FALSE,1,Electronic check,$25.20,"$1,306.30",No,FALSE,51,2017-04-26,$25.61,1 Year,Two or More Lines,No Internet Service,phone_only
0023-XUOPT,Female,TRUE,0,Yes,No,1,2,TRUE,2,TRUE,TRUE,0,Electronic check,$94.10,"$1,215.60",Yes,TRUE,12,2020-07-26,$101.30,Month-to-Month,Two or More Lines,Fiber Optic,phone_and_internet
0027-KWYKW,Female,TRUE,0,Yes,Yes,3,2,TRUE,2,TRUE,TRUE,0,Electronic check,$83.75,"$1,849.95",No,FALSE,22,2019-09-25,$84.09,Month-to-Month,Two or More Lines,Fiber Optic,phone_and_internet
0030-FNXPP,Female,TRUE,0,No,No,0,1,TRUE,0,FALSE,FALSE,0,Mailed check,$19.85,$57.20,No,FALSE,2,2021-05-26,$28.60,Month-to-Month,One Line,No Internet Service,phone_only
0031-PVLZI,Female,TRUE,0,Yes,Yes,3,1,TRUE,0,FALSE,FALSE,0,Mailed check,$20.35,$76.35,Yes,TRUE,3,2021-04-25,$25.45,Month-to-Month,One Line,No Internet Service,phone_only
0032-PGELS,Female,TRUE,0,Yes,Yes,3,1,TRUE,2,TRUE,TRUE,1,Bank transfer (automatic),$103.70,"$5,656.75",No,FALSE,54,2017-01-25,$104.75,1 Year,One Line,Fiber Optic,phone_and_internet
0036-IHMOT,Male,FALSE,0,No,No,0,1,TRUE,0,FALSE,FALSE,1,Bank transfer (automatic),$19.60,$471.85,No,FALSE,24,2019-07-27,$19.66,1 Year,One Line,No Internet Service,phone_only
0040-HALCW,Female,TRUE,0,Yes,Yes,3,1,TRUE,0,FALSE,FALSE,2,Bank transfer (automatic),$19.70,"$1,396.90",No,FALSE,70,2015-09-26,$19.96,2 Year,One Line,No Internet Service,phone_only
0042-JVWOJ,Male,FALSE,0,Yes,No,1,2,TRUE,2,TRUE,TRUE,1,Bank transfer (automatic),$115.80,"$7,942.15",No,FALSE,68,2015-11-26,$116.80,1 Year,Two or More Lines,Fiber Optic,phone_and_internet
0042-RLHYP,Male,FALSE,0,Yes,Yes,3,0,FALSE,1,TRUE,FALSE,2,Credit card (automatic),$39.40,$825.40,No,FALSE,20,2019-11-25,$41.27,2 Year,No Phone Service,DSL,internet_only
0048-LUMLS,Female,TRUE,0,No,Yes,2,2,TRUE,0,FALSE,FALSE,2,Electronic check,$25.10,"$1,070.15",No,FALSE,42,2018-01-25,$25.48,2 Year,Two or More Lines,No Internet Service,phone_only
0048-PIHNL,Female,TRUE,0,Yes,No,1,2,TRUE,2,TRUE,TRUE,0,Electronic check,$94.75,"$5,597.65",No,FALSE,59,2016-08-26,$94.88,Month-to-Month,Two or More Lines,Fiber Optic,phone_and_internet
